,country,country_code,violence,protests,Battles,development,explosion,riots
0,Afghanistan,AFG,630,347,18201,589,7752,15
1,Albania,ALB,1,209,1,2,3,25
2,Algeria,DZA,78,1572,326,145,62,320
3,Angola,AGO,59,113,39,24,4,14
4,Armenia,ARM,11,300,1317,15,36,25
5,Azerbaijan,AZE,10,51,8338,24,10,2
6,Bahrain,BHR,15,5206,7,29,15,2925
7,Bangladesh,BGD,1235,1850,821,83,103,4285
8,Bosnia and Herzegovina,BIH,10,215,1,24,16,13
9,Burkina Faso,BFA,184,368,154,102,24,151
10,Burundi,BDI,2453,520,340,530,369,387
11,Cambodia,KHM,44,830,8,78,1,116
12,Cameroon,CMR,580,113,589,186,174,69
13,Central African Republic,CAF,1429,180,953,416,58,251
14,Chad,TCD,40,48,65,20,23,17
15,Democratic Republic of Congo,COD,2044,705,2446,662,60,493
16,Djibouti,DJI,20,9,11,9,1,5
17,Egypt,EGY,635,2216,1453,475,1041,1265
18,Eritrea,ERI,8,4,6,10,5,3
19,Ethiopia,ETH,543,1601,630,158,51,272
20,Gambia,GMB,12,41,3,19,1,23
21,Greece,GRC,22,167,3,20,7,140
22,Guinea,GIN,37,122,36,13,1,233
23,India,IND,2094,32063,2575,419,729,6993
24,Indonesia,IDN,233,1557,103,50,13,263
25,Iran,IRN,28,2965,108,45,12,116
26,Iraq,IRQ,1136,467,5244,1181,10980,81
27,Israel,ISR,41,378,29,76,367,126
28,Ivory Coast,CIV,63,137,94,19,2,200
29,Jordan,JOR,6,153,13,18,18,20
30,Kenya,KEN,617,936,436,109,130,988
31,Kosovo,XKX,14,107,1,24,4,7
32,Laos,LAO,11,5,10,1,2,1
33,Lebanon,LBN,48,330,210,116,178,70
34,Libya,LBY,1167,806,2235,403,1773,156
35,Madagascar,MDG,152,130,201,29,13,171
36,Mali,MLI,534,135,702,214,384,62
37,Mauritania,MRT,8,247,5,9,2,26
38,Morocco,MAR,56,682,8,26,5,133
39,Mozambique,MOZ,226,62,159,67,4,133
40,Myanmar,MMR,618,1686,2587,232,663,116
41,Namibia,NAM,12,257,3,2,3,51
42,Nepal,NPL,113,1703,18,125,133,1077
43,Niger,NER,99,58,158,51,24,32
44,Nigeria,NGA,2598,2649,2105,288,535,1138
45,Pakistan,PAK,1678,22041,2634,385,2702,1402
46,Palestine,PSE,647,642,261,569,422,1829
47,Philippines,PHL,5009,681,1518,330,304,36
48,Republic of Congo,COG,25,24,18,22,9,26
49,Russia,RUS,168,1278,63,176,15,26
50,Rwanda,RWA,15,34,11,14,16,6
51,Saudi Arabia,SAU,23,11,880,148,2707,4
52,Senegal,SEN,31,267,23,17,4,139
53,Sierra Leone,SLE,38,58,10,5,1,69
54,Somalia,SOM,3624,840,7770,1012,3319,370
55,South Africa,ZAF,416,3472,34,21,6,3137
56,South Sudan,SSD,1958,170,2597,443,191,88
57,Sri Lanka,LKA,139,1635,21,42,15,286
58,Sudan,SDN,2857,886,1466,439,881,225
59,Syria,SYR,2474,741,13033,2354,33550,26
60,Tanzania,TZA,81,70,44,35,20,103
61,Thailand,THA,558,817,664,689,1315,69
62,Tunisia,TUN,95,1928,221,117,158,785
63,Turkey,TUR,276,3103,2295,514,803,148
64,Uganda,UGA,272,355,94,132,9,420
65,Ukraine,UKR,126,975,8021,482,5108,128
66,Yemen,YEM,953,757,9320,1009,23666,157
67,Zambia,ZMB,117,156,19,45,1,202
68,Zimbabwe,ZWE,589,432,35,78,5,323
