country,country_code,Human Trafficking Events,Battles Fought,Population,Asylum Seekers,Aids Related Death,Life Expectancy,Death From Smoking
Afghanistan,AFG,332,9549,37171.92,334,81.74,64.49,4.08
Algeria,DZA,27,16,42228.41,6,87.09,76.69,11.08
Angola,AGO,19,4,30809.79,8,740,60.78,4.78
Armenia,ARM,11,1317,2951.74,15,98.65,74.94,17.22
Bangladesh,BGD,198,68,161376.71,68,99.31,72.32,10.23
Benin,BEN,14,3,11485.04,1,197.6,61.47,2.46
Bosnia and Herzegovina,BIH,10,1,3323.92,2,93.83,77.26,22.92
Burkina Faso,BFA,120,81,19751.47,6,451.98,61.17,1.83
Burundi,BDI,658,42,11175.37,60,405.76,61.25,3.34
Cambodia,KHM,3,1,16249.79,2,86.59,69.57,12.45
Cameroon,CMR,307,265,25216.27,25,1100,58.92,2.74
Central African Republic,CAF,235,215,4666.37,13,423.96,52.8,3.93
Chad,TCD,16,28,15477.73,3,463.02,53.98,1.13
Egypt,EGY,49,166,98423.6,15,97.64,71.82,13.88
Equatorial Guinea,GNQ,4,2,1308.97,0.33,85.35,58.4,2.25
Ethiopia,ETH,265,142,109224.41,134,1000,66.24,1.76
Gabon,GAB,2,1,2119.28,1,91.81,66.19,5.8
Ghana,GHA,20,16,29767.1,18,960,63.78,2.9
Guinea,GIN,16,7,12414.29,35,451.78,61.18,2.1
Indonesia,IDN,66,41,267670.54,5,1800,71.51,13.85
Israel,ISR,14,10,8381.52,1,90.89,82.82,13.34
Jordan,JOR,3,3,9965.32,3,84.71,74.4,12.13
Kazakhstan,KAZ,9,3,18319.62,4,94.56,73.24,14.92
Kenya,KEN,118,85,51392.56,6,3100,66.34,3.39
Kyrgyzstan,KGZ,21,2,6304.03,3,84.82,71.32,11.21
Lebanon,LBN,8,33,6859.41,9,83.19,78.88,19.08
Liberia,LBR,1,1,4818.97,3,169.6,63.73,2.98
Libya,LBY,113,248,6678.56,7,84.77,72.72,7.98
Madagascar,MDG,35,30,26262.31,0.46,185.32,66.68,3.15
Malaysia,MYS,10,4,31528.03,9,87.73,76.0,14.32
Mali,MLI,264,203,19077.75,15,476.35,58.89,1.4
Mauritania,MRT,1,2,4403.31,8,94.02,64.7,2.63
Morocco,MAR,11,1,36029.09,7,85.24,76.45,8.33
Mozambique,MOZ,73,17,29496.0,13,4300,60.16,3.82
Myanmar,MMR,123,456,53708.32,41,550,66.87,16.61
Nepal,NPL,17,4,28095.71,13,91.1,70.48,12.89
Niger,NER,64,41,22442.82,2,90.62,62.02,0.94
Nigeria,NGA,705,474,195874.68,92,3700,54.33,0.85
Pakistan,PAK,319,315,212228.29,77,186.33,67.11,9.08
Philippines,PHL,975,463,106651.39,8,436.3,71.1,14.06
Rwanda,RWA,7,3,12301.97,13,473.47,68.7,5.56
Senegal,SEN,7,6,15854.32,25,81.07,67.67,2.84
Sierra Leone,SLE,21,4,7650.15,6,440.73,54.31,3.42
Somalia,SOM,610,1250,15008.23,58,94.41,57.07,3.35
South Africa,ZAF,34,6,57792.52,2,5300,63.86,6.3
South Sudan,SSD,327,441,10975.93,6,409.14,57.6,2.45
Sri Lanka,LKA,35,8,21228.76,19,86.31,76.81,10.07
Sudan,SDN,298,153,41801.53,52,90.22,65.1,1.37
Thailand,THA,170,149,69428.45,1,446.77,76.93,12.03
Togo,TGO,1,1,7889.09,4,441.76,60.76,3.01
Tunisia,TUN,12,20,11565.2,2,92.83,76.5,16.2
Uganda,UGA,101,19,42729.04,10,2200,62.97,2.39
Ukraine,UKR,126,8021,44246.16,38,82.56,71.95,16.97
Yemen,YEM,419,3457,28498.68,25,98.69,66.1,7.61
Zambia,ZMB,15,1,17351.71,0.32,1600,63.51,3.68
Zimbabwe,ZWE,153,9,14438.8,22,2400,61.2,7.41
